member,seed,stage_days,section,biological_unit,split_role,target_state,input_state,mean_absolute_integrated_gradient,claim_scope
0,20260825,0.0,T1_C1_S1,T1_C1,test,I,I,0.0004491360450629145,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,I,A,0.0009762196568772197,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,I,F,0.0010906517272815108,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,I,C,0.003389985067769885,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,I,V,0.0017678966978564858,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,I,M,0.0062111057341098785,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,A,I,0.00010863402712857351,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,A,A,0.0011774557642638683,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,A,F,0.002263517351821065,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,A,C,0.003551133442670107,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,A,V,0.002710445085540414,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,A,M,0.0010321406880393624,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,F,I,0.000554081576410681,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,F,A,0.0027176581788808107,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,F,F,0.003554557915776968,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,F,C,0.0023466406855732203,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,F,V,0.001056360313668847,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,F,M,0.014262807555496693,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,C,I,0.0014148560585454106,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,C,A,0.00048472086200490594,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,C,F,0.00010280916467308998,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,C,C,0.004776965826749802,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,C,V,0.003873503766953945,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,C,M,0.004592812154442072,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,V,I,0.00021432965877465904,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,V,A,0.0024337349459528923,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,V,F,0.0020084360148757696,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,V,C,0.001432836172170937,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,V,V,0.001232924754731357,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,V,M,0.012704757042229176,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,M,I,0.0017660619923844934,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,M,A,0.0008748011896386743,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,M,F,0.0011290078982710838,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,M,C,0.0013395844725891948,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,M,V,0.0026213263627141714,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S1,T1_C1,test,M,M,0.004769982770085335,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,I,I,0.0004058833001181483,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,I,A,0.0010161014506593347,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,I,F,0.0010937878396362066,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,I,C,0.0034935344010591507,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,I,V,0.0016070209676399827,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,I,M,0.006516678724437952,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,A,I,9.969958773581311e-05,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,A,A,0.0012184205697849393,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,A,F,0.002290307078510523,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,A,C,0.0036499835550785065,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,A,V,0.0024717343039810658,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,A,M,0.0010814499109983444,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,F,I,0.0005020501557737589,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,F,A,0.0028065366204828024,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,F,F,0.003584866411983967,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,F,C,0.0024315917398780584,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,F,V,0.0009685340919531882,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,F,M,0.014965144917368889,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,C,I,0.0012885968899354339,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,C,A,0.0004888544208370149,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,C,F,0.00010784890764625743,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,C,C,0.004933197516947985,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,C,V,0.0035384302027523518,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,C,M,0.004824530333280563,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,V,I,0.00019883525965269655,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,V,A,0.002506234683096409,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,V,F,0.002023683162406087,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,V,C,0.0014830752043053508,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,V,V,0.0011293154675513506,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,V,M,0.01332806795835495,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,M,I,0.0016004896024242043,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,M,A,0.0008902919362299144,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,M,F,0.0011386126279830933,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,M,C,0.0013698184629902244,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,M,V,0.00240220851264894,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S2,T1_C1,test,M,M,0.004972198978066444,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,I,I,0.0005694028805010021,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,I,A,0.0009058646974153817,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,I,F,0.0009543091291561723,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,I,C,0.0031680818647146225,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,I,V,0.0014107422903180122,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,I,M,0.00564240850508213,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,A,I,0.00013829422823619097,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,A,A,0.001087881508283317,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,A,F,0.0019838837906718254,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,A,C,0.0033074193634092808,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,A,V,0.002170335501432419,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,A,M,0.0009374170331284404,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,F,I,0.000702851393725723,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,F,A,0.002506792079657316,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,F,F,0.003114823717623949,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,F,C,0.0021862471476197243,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,F,V,0.0008500820258632302,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,F,M,0.01296109240502119,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,C,I,0.0017842449015006423,model-derived association; hypothesis generating
0,20260825,0.0,T1_C1_S3,T1_C1,test,C,A,0.0004327795759309083,model-derived association; hypothesis generating
